Altium Designer Pick and Place Locations
C:\Users\gauppto\Documents\uz_d_incr_encoder\Project Outputs for UZ_D_Incr_Encoder\Pick Place\PickPlace_UZ_D_Incr_Encoder_04.csv

========================================================================================================================
File Design Information:

Date:       27/05/26
Time:       14:20
Revision:   a54f638ab259804d52a8baeb3c7597409b586510
Variant:    No variations
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"F3","1812_PTC_Polyfuse_Littelfuse","-2.5146","-2.5146","63.1190","63.1190","-4.9046","63.1190","0","Littelfuse_PTC_1812","TopLayer"
"F2","1812_PTC_Polyfuse_Littelfuse","-2.5908","-2.5908","67.4624","67.4624","-4.9808","67.4624","0","Littelfuse_PTC_1812","TopLayer"
"F1","1812_PTC_Polyfuse_Littelfuse","-2.4892","-2.4892","71.8820","71.8820","-4.8792","71.8820","0","Littelfuse_PTC_1812","TopLayer"
"C10","C_0603","16.6000","16.6000","12.3000","12.3000","16.6000","11.6000","90","100 nF","TopLayer"
"C8_3","C_0805","69.8000","69.8000","32.0000","32.0000","68.8000","32.0000","0","0.1 µF","TopLayer"
"C8_1","C_0805","66.3500","66.3500","94.2750","94.2750","66.3500","93.2750","90","0.1 µF","TopLayer"
"C7_3","C_0805","90.4444","90.4444","26.8264","26.8264","90.4444","25.8264","90","0.1 µF","TopLayer"
"C7_2","C_0805","90.4444","90.4444","61.6264","61.6264","90.4444","60.6264","90","0.1 µF","TopLayer"
"C7_1","C_0805","90.1000","90.1000","93.5000","93.5000","90.1000","92.5000","90","0.1 µF","TopLayer"
"C6_3","C_0805","111.7444","111.7444","21.8264","21.8264","111.7444","20.8264","90","0.01 µF","TopLayer"
"C6_2","C_0805","111.7444","111.7444","56.6264","56.6264","111.7444","55.6264","90","0.01 µF","TopLayer"
"C4_3","C_0805","111.8444","111.8444","16.5264","16.5264","111.8444","17.5264","270","0.01 µF","TopLayer"
"C4_2","C_0805","111.8444","111.8444","51.3264","51.3264","111.8444","52.3264","270","0.01 µF","TopLayer"
"C3_3","C_0805","111.8444","111.8444","11.2264","11.2264","111.8444","12.2264","270","0.01 µF","TopLayer"
"C3_2","C_0805","111.8444","111.8444","46.0264","46.0264","111.8444","47.0264","270","0.01 µF","TopLayer"
"C2_3","C_0805","66.7875","66.7875","20.8125","20.8125","67.7875","20.8125","180","0.1 µF","TopLayer"
